q1,q2,thresh,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
30,0,0.5,25,13,17,27,39,47,85,101,13,17,19,31,43,95,95,50,15,21,27,39,65,84,47,19,23,27,37,47,85,1,1,11,25,37,45,87,68,1,1,1,39,57,91,38,1,1,1,1,55,49,1,1,1,1,1,1,83,1,1,1,1,1,1,1
30,0,0.6,17,11,17,21,35,41,85,95,11,15,17,31,43,95,95,50,13,21,19,37,65,84,47,19,23,27,37,47,85,1,1,11,19,37,39,87,68,1,1,1,39,57,91,38,1,1,1,1,47,49,1,1,1,1,1,1,73,1,1,1,1,1,1,1
30,0,0.7,11,9,17,17,25,33,85,67,9,11,13,27,43,95,95,50,11,17,15,27,65,84,47,19,23,27,27,39,85,1,1,11,15,31,33,87,68,1,1,1,31,57,91,38,1,1,1,1,39,49,1,1,1,1,1,1,61,1,1,1,1,1,1,1
30,0,0.8,5,7,17,13,19,27,85,51,7,9,11,19,43,95,95,50,9,11,13,21,65,84,47,19,13,23,21,27,85,1,1,11,11,21,25,87,68,1,1,1,21,39,91,38,1,1,1,1,29,49,1,1,1,1,1,1,47,1,1,1,1,1,1,1
30,0,0.9,1,5,9,7,13,17,39,33,5,5,7,11,21,53,55,29,5,7,9,13,35,45,31,15,7,13,13,17,47,1,1,11,7,13,15,37,41,1,1,1,13,23,49,29,1,1,1,1,19,45,1,1,1,1,1,1,31,1,1,1,1,1,1,1
30,40,0.5,17,11,41,39,23,39,63,75,11,25,17,23,33,73,66,36,13,15,17,29,49,71,19,16,29,21,27,35,63,1,1,9,23,27,43,65,84,1,1,1,29,43,67,54,1,1,1,1,41,54,1,1,1,1,1,1,43,1,1,1,1,1,1,1
30,40,0.6,13,9,13,29,19,33,63,75,9,11,17,23,33,73,66,36,11,15,15,29,49,71,19,16,15,21,27,35,63,1,1,9,17,27,33,65,84,1,1,1,23,43,67,54,1,1,1,1,35,54,1,1,1,1,1,1,43,1,1,1,1,1,1,1
30,40,0.7,9,7,13,17,17,27,63,75,7,9,13,23,33,73,66,36,9,13,11,23,49,71,19,16,11,21,27,33,63,1,1,9,13,27,27,65,84,1,1,1,17,43,67,54,1,1,1,1,29,54,1,1,1,1,1,1,39,1,1,1,1,1,1,1
30,40,0.8,3,5,13,11,13,21,63,51,5,7,9,15,33,73,66,36,7,9,9,17,49,71,19,16,7,15,19,21,63,1,1,9,11,19,21,65,84,1,1,1,13,43,67,54,1,1,1,1,23,54,1,1,1,1,1,1,31,1,1,1,1,1,1,1
30,40,0.9,3,3,7,7,9,15,31,31,3,5,7,9,17,45,35,21,5,5,7,11,27,41,19,13,5,9,11,15,33,1,1,9,7,11,15,33,51,1,1,1,9,23,37,33,1,1,1,1,15,43,1,1,1,1,1,1,21,1,1,1,1,1,1,1
35,0,0.5,15,15,13,23,33,51,71,67,11,13,19,27,37,81,76,49,13,13,17,27,57,77,67,17,17,23,23,41,71,1,57,19,23,31,45,79,67,39,1,1,33,49,77,82,1,21,1,1,47,69,1,1,1,1,1,1,61,1,1,1,1,1,1,1
35,0,0.6,11,11,13,19,33,41,71,57,11,11,19,27,37,81,76,49,11,11,15,23,57,77,67,17,13,23,19,35,71,1,57,19,17,31,37,79,67,39,1,1,33,49,77,82,1,21,1,1,39,69,1,1,1,1,1,1,53,1,1,1,1,1,1,1
35,0,0.7,5,9,13,15,33,33,71,47,9,9,19,23,37,81,76,49,9,9,11,19,57,77,67,17,11,23,17,27,51,1,57,19,15,31,29,79,67,39,1,1,33,49,77,82,1,21,1,1,33,69,1,1,1,1,1,1,47,1,1,1,1,1,1,1
35,0,0.8,3,7,9,11,33,25,63,37,7,7,13,15,27,81,76,49,7,7,9,15,57,65,53,17,9,23,13,21,39,1,57,19,11,21,23,79,67,39,1,1,23,33,73,82,1,21,1,1,25,69,1,1,1,1,1,1,37,1,1,1,1,1,1,1
35,0,0.9,3,5,5,7,15,17,33,25,5,5,9,11,15,43,39,43,5,5,7,11,29,33,31,15,5,11,9,13,25,1,39,11,7,13,15,39,45,23,1,1,13,19,37,51,1,21,1,1,17,49,1,1,1,1,1,1,25,1,1,1,1,1,1,1
35,45,0.5,13,11,25,39,27,37,57,61,9,17,15,21,29,63,55,35,11,15,13,21,43,56,48,15,15,19,23,31,57,1,40,9,19,23,29,55,74,37,1,1,27,39,61,37,1,17,1,1,35,37,1,1,1,1,1,1,65,1,1,1,1,1,1,1
35,45,0.6,11,9,11,29,27,31,57,49,7,9,15,21,29,63,55,35,9,9,11,17,43,56,48,15,13,19,17,31,57,1,40,9,15,23,25,55,74,37,1,1,27,39,61,37,1,17,1,1,31,37,1,1,1,1,1,1,51,1,1,1,1,1,1,1
35,45,0.7,9,7,11,19,27,25,57,41,7,7,15,17,29,63,55,35,7,7,9,15,43,56,48,15,9,19,15,25,57,1,40,9,11,19,21,55,74,37,1,1,21,39,61,37,1,17,1,1,25,37,1,1,1,1,1,1,43,1,1,1,1,1,1,1
